address,state,provAbortion
"147-32 Jamaica Avenue, Jamaica, NY 11435",NY,Provides Abortions
"3607 West 16th Street Suite B-2, Indianapolis, IN 46222",IN,Provides Abortions
"181 West Meadow Dr. - Suite 800, Vail, CO 81657",CO,Provides Abortions
"3850 Rosemont Drive, Columbus, GA 31904",GA,Provides Abortions
"222 N. 2nd Street, Suite 206, Boise, ID 83702",ID,Provides Abortions
"619 NW 23rd Street, Oklahoma City, OK 73103",OK,Provides Abortions
"4401 W 109th Street #100, Overland Park, KS 66211",KS,Provides Abortions
"2226 E Central, Wichita, KS 67214",KS,Provides Abortions
"8111 Lowry Blvd, Denver, CO 80230",CO,Provides Abortions
"104-08 Roosevelt Avenue, 2nd Floor, Corona, Queens, NY 11368",NY,Provides Abortions
"CCMC Annex- Alexander Silberman Center, 1 Medical Center Blvd., 4th Floor, Chester, PA 19013",PA,Provides Abortions
"756 Colonial Drive, Baton Rouge, LA 70806",LA,Provides Abortions
"1900 E. Desert Inn Rd. Las Vegas, NV 89169",NV,Provides Abortions
"5501 N 19th Ave Suite 420, Phoenix AZ 85015",AZ,Provides Abortions
"642 Southern Blvd., Bronx, NY 10455",NY,Provides Abortions
"1393 Santa Rita Rd, Ste B, Pleasonton, CA 94566",CA,Provides Abortions
"216-4 Union Turnpike, Oakland Gardens, NY 11364",NY,Provides Abortions
"3114 Mercer University Drive, Suite 100, Atlanta, GA 30341",GA,Provides Abortions
"1120 19th St NW, Washington, DC 20036",DC,Provides Abortions
"124 E. 40th St. Ste 702, New York, NY 10016",NY,Provides Abortions
"5 Cornwall Court, # B4, East Brunswick, NJ 08816",NJ,Provides Abortions
"962 East Cypress Road, Fort Lauderdale, FL 33334",FL,Provides Abortions
"15921 E 8 Mile Road, Eastpointe, MI, 48021",MI,Provides Abortions
"14 DeKalb Avenue, 4th Floor, Brooklyn, NY 11201",NY,Provides Abortions
"455 W Broadway, Jackson, WY 83001",WY,Provides Abortions
"227 N. Dubuque Street, Iowa City, IA 52245",IA,Provides Abortions
"136 W. Market Street, Louisville, KY 40202",KY,Provides Abortions
"38 South Main Street, Concord, NH 03301",NH,Provides Abortions
"450 Sutter Street, Suite 1324, San Francisco, CA 94108",CA,Provides Abortions
"8603 South Dixie Highway, #102, Miami, FL 33143",FL,Provides Abortions
"900 S. Washington St., Suite 300, Falls Church, VA 22046",VA,Provides Abortions
"1331 N. 7th Street, #225, Phoenix, AZ 85006",AZ,Provides Abortions
"659 W. Washington Blvd., Chicago IL 60661",IL,Provides Abortions
"4341 N Milwaukee Ave., Chicago, IL 60641",IL,Provides Abortions
"700 E. Hebron Street, Charlotte, NC, 28273",NC,Provides Abortions
"66 Painters Mill Road, Suite 106, Owings Mills, MD 21117",MD,Provides Abortions
"1924 Cliff Valley Way NE, Atlanta, GA 30329",GA,Provides Abortions
"3599 University Boulevard South Building #1200, Jacksonville, FL 32216",FL,Provides Abortions
"150 Emory Street, Attleboro, MA 02703",MA,Provides Abortions
"288 Groveland Street, Haverhill, MA 01830",MA,Provides Abortions
"2500 H St., Bakersfield, CA 93701",CA,Provides Abortions
"7023 Owensmouth Ave, Canoga Park, CA 91303",CA,Provides Abortions
"8635 Firestone Blvd, Ste 100, Downey, CA 90241",CA,Provides Abortions
"4922 East Whittier Blvd, East Los Angeles, CA 90022",CA,Provides Abortions
"1625 E Main St #202, El Cajon, CA 92021",CA,Provides Abortions
"165 N. Clark Street, Fresno, CA 93701",CA,Provides Abortions
"372 W. Arden Ave #200, Glendale, CA 91203",CA,Provides Abortions
"301 N Prairie Ave Suite 611, Inglewood, CA 90301",CA,Provides Abortions
"2777 Long Beach Blvd, #200, Long Beach, CA 90806",CA,Provides Abortions
"601 S. Westmoreland Ave, Los Angeles, CA 90005",CA,Provides Abortions
"10200 Sepulveda Blvd, Ste #200, Mission Hills, CA 91345",CA,Provides Abortions
"2030 Coffee Rd. Ste A-1, Modesto, CA 95355",CA,Provides Abortions
"400 29th St, Ste #301, Oakland, CA 94609",CA,Provides Abortions
"1700 Lombard St #110, Oxnard, CA 93030",CA,Provides Abortions
"1996 Indian Hill Blvd, Pomona, CA 91767",CA,Provides Abortions
"3660 Park Sierra Dr., Ste #202, Riverside, CA 92503",CA,Provides Abortions
"2322 Butano Dr #205, Sacramento, CA 95825",CA,Provides Abortions
"855 E. Hospitality Ln., San Bernardino, CA 92408",CA,Provides Abortions
"2100 Forest Ave #108, San Jose, CA 95128",CA,Provides Abortions
"1901 N.Tustin Ave, Santa Ana, CA 92705",CA,Provides Abortions
"12304 Santa Monica Blvd., #116, Los Angeles, CA 90025",CA,Provides Abortions
"41715 Winchester Rd. #204, Temecula, CA 92590",CA,Provides Abortions
"24241 Hawthorne Blvd, Unit 201, Torrance, CA 90505",CA,Provides Abortions
"501 S Vincent Ave Suite 205, West Covina, CA 91790",CA,Provides Abortions
"43845 10th St W #1E, Lancaster, CA 93534",CA,Provides Abortions
"25 Lindsley Dr., Suite 101, Morristown, NJ 07960",NJ,Provides Abortions
"601 Ewing Street, Suite A-3, Princeton, NJ 08540",NJ,Provides Abortions
"4000 Victory Blvd, Staten Island, NY 10314",NY,Provides Abortions
"1142 Grove Road, Greenville, SC 29605",SC,Provides Abortions
"17 Fontana Lane, Suite 201, Rosedale, MD 21237",MD,Provides Abortions
"100 Cummings Center, Suite 110-E, Beverly, MA 01915",MA,Provides Abortions
"215 Summer Street, Suite 16, Haverhill, MA 01830",MA,Provides Abortions
"280 Merrimack Street, Suite 544, Lawrence, MA 01843",MA,Provides Abortions
"300 E. Hampden Ave., Suite 201, Denver, CO 80206",CO,Provides Abortions
"1155 W. Central Ave, Suite 214, Santa Ana, CA 92707",CA,Provides Abortions
"241 W Olive Ave, Burbank, CA 91502",CA,Provides Abortions
"2226 E Cesar Chavez Ave, Los Angeles, CA 90033",CA,Provides Abortions
"7024 Seville Ave, Suite A, Huntington Park, CA 90255",CA,Provides Abortions
"8349 Reseda Blvd, Northridge, CA 91324",CA,Provides Abortions
"418 San Fernando Mission Blvd, San Fernando, CA 91340",CA,Provides Abortions
"7220 Woodman Ave, Suite 106, Van Nuys, CA 91405",CA,Provides Abortions
"320 East Fulton, Grand Rapids, MI, 49503",MI,Provides Abortions
"500 E. Schuster Ave., Suite B, El Paso, TX 79902",TX,Provides Abortions
"5290 McNutt Road, Suite 106, Sunland Park, NM 88008",NM,Provides Abortions
"1602 21st Street, Granite City, IL 62040",IL,Provides Abortions
"210 Kings Highway, Shreveport, LA 71104",LA,Provides Abortions
"4820 San Jacinto, Houston, TX 77004",TX,Provides Abortions
"5225 Katy Freeway, Suite 370, Houston, TX 77007",TX,Provides Abortions
"1186 Roosevelt Road, Glen Ellyn, IL 60137",IL,Provides Abortions
"1700 75th Street, Downers Grove, IL 60516",IL,Provides Abortions
