stateFIPS,state,stateAB,funding,medical,personal,gestRoe,gestDobb,lawRoe,lawDobb,legCon,govCon,stateCon
22,Louisiana,LA,0.6363636363636364,0.8333333333333333,0.9523809523809524,0.7272727272727274,0.5333333333333333,3.14935064935065,2.9554112554112555,R,D,S
23,Maine,ME,0,0,0,0.5454545454545454,0.4,0.5454545454545454,0.4,D,D,D
24,Maryland,MD,0,0,0.09523809523809525,0.3636363636363637,0.26666666666666666,0.45887445887445893,0.3619047619047619,D,R,S
25,Massachusetts,MA,0,0,0.2857142857142857,0.3636363636363637,0.26666666666666666,0.6493506493506493,0.5523809523809524,D,R,S
26,Michigan,MI,1,0.5,0.9523809523809524,0.9090909090909092,0.6666666666666666,3.3614718614718617,3.119047619047618,R,D,S
27,Minnesota,MN,0,0.5,0.1904761904761905,0.5454545454545454,0.4,1.235930735930736,1.0904761904761906,S,D,S
28,Mississippi,MS,0.5909090909090909,0.5,0.9523809523809524,1.181818181818182,2,3.2251082251082255,4.043290043290043,R,R,R
29,Missouri,MO,1,0.8333333333333333,0.380952380952381,0.5454545454545454,2,2.75974025974026,4.2142857142857135,R,R,R
30,Montana,MT,0,0.6666666666666666,0.04761904761904761,0.3636363636363637,0.26666666666666666,1.077922077922078,0.980952380952381,R,D,S
31,Nebraska,NE,1,0.08333333333333333,0.380952380952381,0.7272727272727274,0.5333333333333333,2.191558441558442,1.9976190476190472,U,R,U
32,Nevada,NV,0.6363636363636364,0,0.04761904761904761,0.5454545454545454,0.4,1.229437229437229,1.083982683982684,D,D,D
33,New Hampshire,NH,0.6363636363636364,0.5,0.1904761904761905,0,0.4,1.3268398268398267,1.7268398268398268,D,R,S
34,New Jersey,NJ,0,0.08333333333333333,0.04761904761904761,0,0,0.13095238095238093,0.13095238095238093,D,D,D
35,New Mexico,NM,0,0.3333333333333333,0.04761904761904761,0,0,0.380952380952381,0.380952380952381,D,D,D
36,New York,NY,0,0,0,0.3636363636363637,0.26666666666666666,0.3636363636363637,0.26666666666666666,D,D,D
37,North Carolina,NC,0.6363636363636364,0,0.380952380952381,0.3636363636363637,0.26666666666666666,1.380952380952381,1.283982683982684,R,D,S
38,North Dakota,ND,1,0.5,0.380952380952381,0.7272727272727274,2,2.6082251082251084,3.880952380952381,R,R,R
39,Ohio,OH,0.6363636363636364,1,0.9523809523809524,0.7272727272727274,1.6,3.3160173160173163,4.188744588744589,R,R,R
40,Oklahoma,OK,1,0.8333333333333333,0.5714285714285714,0.7272727272727274,2,3.1320346320346317,4.404761904761904,R,R,R
41,Oregon,OR,0,0,0,0,0,0,0,D,D,D
42,Pennsylvania,PA,0.6363636363636364,0.3333333333333333,0.380952380952381,0.3636363636363637,0.26666666666666666,1.7142857142857142,1.6173160173160173,R,D,S
44,Rhode Island,RI,0.6363636363636364,0.08333333333333333,0.380952380952381,0.5454545454545454,0.4,1.6461038961038958,1.5006493506493506,D,D,D
45,South Carolina,SC,0.6363636363636364,0.6666666666666666,0.380952380952381,0.7272727272727274,1.6,2.411255411255411,3.283982683982684,R,R,R
46,South Dakota,SD,0.7272727272727273,0.5,0.7619047619047619,0.7272727272727274,2,2.7164502164502164,3.98917748917749,R,R,R
47,Tennessee,TN,0.6363636363636364,0.8333333333333333,0.41666666666666663,0.3636363636363637,2,2.25,3.886363636363636,R,R,R
48,Texas,TX,1,0.5,1,2,2,4.5,4.5,R,R,R
49,Utah,UT,0.9545454545454546,0.5,0.8571428571428571,0.18181818181818185,0.13333333333333333,2.4935064935064934,2.445021645021645,R,R,R
50,Vermont,VT,0,0,0,0,0,0,0,D,R,S
51,Virginia,VA,0.5909090909090909,0.8333333333333333,0.5714285714285714,0.18181818181818185,0.13333333333333333,2.1774891774891776,2.129004329004329,D,D,D
53,Washington,WA,0,0,0,0.5454545454545454,0.4,0.5454545454545454,0.4,D,D,D
54,West Virginia,WV,0.5454545454545454,0.08333333333333333,0.09523809523809525,0.7272727272727274,0.5333333333333333,1.4512987012987015,1.257359307359307,R,R,R
55,Wisconsin,WI,0.5909090909090909,0.08333333333333333,0.8571428571428571,0.7272727272727274,2,2.2586580086580086,3.5313852813852815,R,D,S
56,Wyoming,WY,0.6363636363636364,0,0.5714285714285714,0.5454545454545454,2,1.753246753246753,3.207792207792208,R,R,R
