address,city,county,state,latitude,longitude,stateFIPS,GEOID
"1874 Piedmont Ave NE, Suite 570E, Atlanta, GA 30324",Atlanta,Fulton County,GA,33.807564,-84.366614,13,13121
"3114 Mercer University Drive, Suite 100, Atlanta, GA 30341",Atlanta,DeKalb County,GA,33.877141,-84.261435,13,13089
"235 West Wieuca Road NE, Atlanta, GA 30342",Atlanta,Fulton County,GA,33.876271,-84.378934,13,13121
"1902 S IH-35, Suite A, Austin, TX 78704",Austin,Travis County,TX,30.30886,-97.754883,48,48453
"3300 Main Street, Suite 4D, Springfield, MA 01107",Springfield,Hampden County,MA,42.122954,-72.609994,25,25013
"725 North Street, Pittsfield, MA, 01201",Pittsfield,Berkshire County,MA,42.459419,-73.249431,25,25003
"330 Brookline Avenue, Boston, MA 02215",Boston,Suffolk County,MA,42.33982,-71.10568,25,25025
"872 E. Sahara Avenue, Las Vegas, NV 89104",Las Vegas,Clark County,NV,36.145965,-115.142963,32,32003
"7360 Coral Way, Ste. 16, Miami, FL 33155",Miami,Miami-Dade County,FL,25.748034,-80.314854,12,12086
"610 N. California Street, Missoula, MT 59802",Missoula,Missoula County,MT,46.877261,-114.013119,30,30063
"One Boston Medical Center Place, Boston, MA 02118",Boston,Suffolk County,MA,42.336162,-71.072854,25,25025
"1130 Alpine Avenue, Boulder, CO 80304",Boulder,Boulder County,CO,40.025223,-105.283169,8,8013
"2855 Valmont Road, Boulder, CO 80301",Boulder,Boulder County,CO,40.02966,-105.256543,8,8013
"82 21st Ave, Suite C, Longmont, CO 80501",Longmont,Boulder County,CO,40.197223,-105.095219,8,8013
"292 S. La Cienega Blvd. #100, Beverly Hills, CA 90211",Beverly Hills,Los Angeles County,CA,34.062863,-118.375779,6,6037
"1233 NW 10th Avenue, Gainesville, FL 32601",Gainesville,Alachua County,FL,29.661,-82.338282,12,12001
"75 Francis Street, Boston, Ma, 02115",Boston,Suffolk County,MA,42.336107,-71.107481,25,25025
"2901 West State St, Bristol, TN 37620",Bristol,Sullivan County,TN,36.592637,-82.219402,47,47163
"2070 Eastchester Road, Bronx, NY 10461",Bronx,Bronx County,NY,40.85524,-73.843616,36,36005
"14 Dekalb Ave, 4th Floor, Brooklyn, NY 11201",Brooklyn,Kings County,NY,40.689857,-73.982219,36,36047
"142 Joralemon Street, Suite 4CF, Brooklyn, NY 11201",Brooklyn,Kings County,NY,40.692806,-73.99355,36,36047
"14 Dekalb Ave, Brooklyn, NY 11201",Brooklyn,Kings County,NY,40.689857,-73.982219,36,36047
"106-12 Liberty Ave, Ozone Park, NY 11417",Ozone Park,Queens County,NY,40.682943,-73.834902,36,36081
"2500 Main Street, Buffalo, NY 14214",Buffalo,Erie County,NY,42.936663,-78.842279,36,36029
"1493 Cambridge St., Cambridge, MA 02139",Cambridge,Middlesex County,MA,42.374426,-71.104437,25,25017
"4141 N. 32nd Street, #105, Phoenix, AZ 85018",Phoenix,Maricopa County,AZ,33.496688,-112.012021,4,4013
"1160 W Sylvania Ave, Toledo, OH 43612",Toledo,Lucas County,OH,41.692665,-83.568954,39,39095
"6323 Georgia Ave NW, Suite 210, Washington D.C. 20011",Washington,District of Columbia,DC,38.966911,-77.027118,11,11001
"1800 Peachtree St NW, Suite 800, Atlanta, GA 30309",Atlanta,Fulton County,GA,33.803865,-84.394141,13,13121
"4711 Golf Rd, Suite 920, Skokie, IL 60076",Skokie,Cook County,IL,42.054308,-87.744049,17,17031
"5002 Crossings Circle, Suite 260, Mt Juliet, TN 37122",Mount Juliet,Wilson County,TN,36.167183,-86.51721,47,47189
"5530 Wisconsin Ave, Chevy Chase, MD 20815",Chevy Chase,Montgomery County,MD,38.964896,-77.088315,24,24031
"1002 W Mission Ave., Bellevue, NE 68005",Bellevue,Sarpy County,NE,41.136742,-95.905948,31,31153
"263 Rainier Ave S. #200, Renton, WA 98057",Renton,King County,WA,47.480819,-122.218532,53,53033
"509 Olive Way #1454, Seattle, WA 98101",Seattle,King County,WA,47.612768,-122.336818,53,53033
